delta,alpha_-20.0deg,alpha_-19.0deg,alpha_-18.0deg,alpha_-17.0deg,alpha_-16.0deg,alpha_-15.0deg,alpha_-14.0deg,alpha_-13.0deg,alpha_-12.0deg,alpha_-11.0deg,alpha_-10.0deg,alpha_-9.0deg,alpha_-8.0deg,alpha_-7.0deg,alpha_-6.0deg,alpha_-5.0deg,alpha_-4.0deg,alpha_-3.0deg,alpha_-2.0deg,alpha_-1.0deg,alpha_0.0deg,alpha_1.0deg,alpha_2.0deg,alpha_3.0deg,alpha_4.0deg,alpha_5.0deg,alpha_6.0deg,alpha_7.0deg,alpha_8.0deg,alpha_9.0deg,alpha_10.0deg,alpha_11.0deg,alpha_12.0deg,alpha_13.0deg,alpha_14.0deg,alpha_15.0deg,alpha_16.0deg,alpha_17.0deg,alpha_18.0deg,alpha_19.0deg,alpha_20.0deg
0.0,-0.581426742018045,-0.5466482270227626,-0.5123726040780789,-0.4788787676645795,-0.4535487435289973,-0.5118948138836114,-0.8730650570712184,-0.9133955054816847,-0.8794962095376393,-0.7789748311854743,-0.643829654284866,-0.5181494124214647,-0.40288528674850477,-0.2901062177452327,-0.17976602660405344,-0.07052803186838447,0.04113509658452141,0.15333725285535804,0.26437854332990063,0.37375266389635486,0.4799057576011969,0.594468097504528,0.70484245469051,0.8097055008020554,0.9150101286476399,1.0194616834384138,1.1236262867748648,1.2199161892378814,1.2956991365348602,1.35631698932919,1.4131047979716025,1.4641084192294218,1.50612415103943,1.5371594345845363,1.5558262671172483,1.5619286775468304,1.5559354659245876,1.5394751898201557,1.5163010130482804,1.4929803925137501,1.4737822877216724
0.009999999999999995,-0.499666662623123,-0.46723272340666844,-0.438305103888752,-0.4160406467790576,-0.41605417911155307,-0.577761627335726,-0.8765283453060763,-0.8331331074545372,-0.7179019754195177,-0.5923466236523998,-0.4705289035440095,-0.3531320837957288,-0.23782590769253675,-0.1215562880821427,-0.0049704340364590816,0.10991952791428772,0.22324847754413973,0.3366601837164529,0.44749865169671554,0.5536737854186986,0.6573077433997498,0.7584606386825795,0.8635473320180618,0.9698655060992503,1.0747668524853833,1.1762591562203375,1.271603834052701,1.3470622642957437,1.4040781013826054,1.4568711104409098,1.5084124497854263,1.5523091297034632,1.5860651391330438,1.6084358420851839,1.618865849914528,1.617212008832954,1.6040299825099216,1.5824341956188048,1.5578608551495858,1.5361494800201974,1.5193309975538394
0.01999999999999999,-0.4558388206186642,-0.43709174540575024,-0.42182108251476114,-0.40800661827779394,-0.4195352882430784,-0.6978131927814213,-0.7547817021482417,-0.6578813643372535,-0.5465355290889021,-0.4342305894480213,-0.3195874992642835,-0.20237459012547465,-0.08245480087921242,0.03907717845419978,0.16077727556645965,0.2815622168622973,0.4008165309990641,0.5163635131484805,0.6264213356590849,0.7311712295800021,0.830383976896665,0.9224186062264734,1.0180307008105693,1.118053594954667,1.2158904108112059,1.3101340767341418,1.3888455875037633,1.446148212915932,1.495078646123938,1.54579644495997,1.5910398648539044,1.6270975700891588,1.652964048599465,1.6679025659381357,1.6714206617130507,1.6632212487601183,1.6449859236940367,1.621754513365496,1.5992899753377003,1.5812789774109386,1.5683343813790405
0.03,-0.4402599082074886,-0.4069530825549267,-0.36194669737743557,-0.30940676176761606,-0.3140639964018491,-0.6257428834345301,-0.6056498718794567,-0.5095653760848747,-0.4063985291171775,-0.29926648996392413,-0.18548506512695667,-0.06488958828361008,0.06086821108949936,0.18836445468828888,0.315266708379147,0.4411213204520095,0.5650682323062923,0.6855556482449626,0.7981608830371583,0.9005126180238363,0.9899981546575458,1.0735324645207536,1.1565250381141994,1.24350247506125,1.3351769981075123,1.4197964352632402,1.481362992731161,1.5294803385349043,1.57780294701523,1.6243416259869696,1.662640233389042,1.6915271216330052,1.7105532868645204,1.7190299592020124,1.7161843630668756,1.702010997576751,1.6802303307360122,1.6570288194333644,1.6371216751146291,1.6220168132345631,1.6122049499348323
0.04000000000000001,-0.3305267227941787,-0.2758266201653321,-0.22274618231002785,-0.17896933429593098,-0.2730796288591937,-0.5447480295305931,-0.48530688607265443,-0.3888762380587517,-0.2877230632141644,-0.17945671078288367,-0.06218814492586672,0.06356414457601511,0.19435593372545557,0.3262462621904508,0.45710084258534833,0.5854471611643814,0.7117966767361369,0.8355288989516626,0.953248935746235,1.0519827909506283,1.1284834245846642,1.1982559269545778,1.274522681406428,1.3566427702112263,1.4386794130259875,1.5052651100297803,1.5555949762841998,1.601489908045812,1.6489902208584046,1.6900037943929,1.7221862394285439,1.7454370133741917,1.7590789630608659,1.7621693023192426,1.7539664368727705,1.7358827432567792,1.713829918127663,1.6934737619433113,1.6776131573800888,1.6662997716707881,1.6601330047017135
0.04999999999999999,-0.19971260503788923,-0.15298231347887115,-0.1092516701027837,-0.0794884034627068,-0.25547690792642047,-0.45300532586891973,-0.3803438341636197,-0.2841899821424151,-0.18014767108771862,-0.0672410710113216,0.055047100311916786,0.1849654710907993,0.31865067121366,0.4527867842793312,0.5854354052400683,0.714175323636031,0.8403686479678234,0.9646269230832347,1.0824057954412438,1.1756585965290145,1.2394501393034294,1.2974066027357676,1.3708404909218865,1.4541718557781185,1.5262629319013081,1.5750207998253898,1.618714650220865,1.665832404478869,1.7104902240719604,1.7464574302212168,1.7737521318736789,1.7922864346875138,1.8010605633747785,1.798982516781315,1.7858425727983676,1.7653182085216845,1.7444714792835967,1.7272511226796357,1.7145898609079968,1.7062132977720874,1.7026656752540703
0.06,-0.09270419941564179,-0.05434066739729715,-0.01990592459322571,-0.007388360364977031,-0.2707595808636919,-0.3675587889343175,-0.2881704993290898,-0.18785967821048283,-0.07756772770459291,0.04097936569331806,0.1676036084886175,0.2999508337894252,0.4348630750518654,0.5706787105985319,0.7037158845647571,0.8327535954192397,0.9572896759591041,1.0808385741114355,1.1921556918303118,1.275807992731436,1.3276860221390652,1.379771959834782,1.4543642448427876,1.5347213928816408,1.591613294795903,1.6363347429828248,1.679021628648828,1.722646136593393,1.7620057037198704,1.7939643442237407,1.8177207496111036,1.8323919231332604,1.8367659454834826,1.8299844781284722,1.8131902878570334,1.792675276726858,1.774671117391624,1.7610268437991152,1.751383987276475,1.745841747146924,1.744040217383952
0.07,-0.0037769863798711167,0.02647033590769421,0.05106377402879181,0.021081500240085482,-0.3038158387204527,-0.2925016410170559,-0.2068238474266556,-0.09847369356529595,0.01963937022790596,0.14446172841802452,0.2748342372312242,0.40876432309161786,0.5449218417389141,0.6822365633653943,0.816358772489293,0.9451676562817842,1.0692282404881714,1.1893816794233705,1.2905139527167433,1.3605158419497436,1.4010741595895801,1.4529406997369085,1.5296157633775438,1.5978346034560857,1.6438308663926127,1.6879934392416325,1.7317222384318731,1.773349706416773,1.807725243817428,1.835199649181123,1.855744558623365,1.867262108144205,1.868055697690889,1.8578789850819437,1.8400477723637758,1.8221913332153918,1.8081962920586776,1.798354888885303,1.791902567803756,1.7892703983748373,1.7887012365425696
0.07999999999999999,0.06717290888209704,0.08840785931666895,0.10083854056233665,0.03009510345920674,-0.28096264397738135,-0.23197299886563671,-0.13930638526610278,-0.01842499834428213,0.11103636835747677,0.24362772471263372,0.37801579331898505,0.513694540405204,0.652362184286857,0.7910064465326805,0.9254487011106708,1.0524249064499893,1.1760903246909544,1.2888697013294341,1.3773430523172447,1.4310460624073225,1.4640458738736797,1.521439977848538,1.5969173282964115,1.648110348369844,1.6902329805822334,1.7338507695194145,1.7775450893138287,1.816999943801598,1.8489096158180334,1.873454560973869,1.8899854668691103,1.8972253933379961,1.8941914208407267,1.8812743381982806,1.8641508568465313,1.8497893592551367,1.8395279934387772,1.832623185055587,1.8286028313763878,1.8277120144419645,1.8259891357789924
0.09,0.11904091162759645,0.12498214708762201,0.11703400819429555,-0.0408493594115642,-0.2655958320565439,-0.19213553920006893,-0.0798147426435919,0.059698397426919125,0.20246349364755262,0.3426911259121655,0.48054514345868715,0.6181461869023867,0.7585137647199757,0.8969253268156195,1.028151161622899,1.1531188208322067,1.2740800661945686,1.3778228351844004,1.4529093512784117,1.4914046006831572,1.5237162007686005,1.5888200220138795,1.6533606183259548,1.6914031239526657,1.7320110846627994,1.7737959371671392,1.8161554204175951,1.853723016044007,1.884596698532851,1.9077947228247119,1.9218746738937047,1.925840452292592,1.9194808876565916,1.905397906633367,1.8911317481057057,1.880914318942748,1.8743052212186453,1.8702171618194021,1.8687320432181787,1.8692783179368153,1.8655719466518943
0.1,0.12957750955180902,0.11615742047385613,0.08780630674005208,-0.11599232742378851,-0.25294272912346716,-0.15258810385263938,-0.015134306984342871,0.14373880066638206,0.29849510157913434,0.44404277411800985,0.5839490205195991,0.7246691945083187,0.8653552544379413,1.0000139581258132,1.1261440680069204,1.2488677590631247,1.3650911825780225,1.4598096778913243,1.5198086139029319,1.5449425451431678,1.5831793550207276,1.6525008622987027,1.6989911148799708,1.7318498106035456,1.771182237945381,1.8113010738574025,1.8512427552578306,1.886482269241988,1.9155351578900657,1.9369401231863133,1.9489587002887088,1.9503386014094763,1.9414785073189849,1.9277636887283003,1.9169135718171162,1.9102443375609817,1.9064362039128464,1.9044694750007423,1.9047456564449061,1.904639376400581,1.8957417719342708
